
Odczyt danych o terenie z pliku teren.map

  rozmiar sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  czy_toroidalnosc = 0
  granica_x = -1.000000
  granica_z = -1.000000
  liczba sekt. = 372
    mapa w=0, k=0, l.oczek = 16
    mapa w=29, k=-7, l.oczek = 8
    mapa w=29, k=-5, l.oczek = 8
    mapa w=18, k=-8, l.oczek = 8
    mapa w=9, k=4, l.oczek = 8
    mapa w=13, k=-9, l.oczek = 8
    mapa w=16, k=-2, l.oczek = 8
    mapa w=18, k=-10, l.oczek = 8
    mapa w=30, k=-12, l.oczek = 8
    mapa w=14, k=-11, l.oczek = 8
    mapa w=22, k=-1, l.oczek = 8
    mapa w=11, k=3, l.oczek = 8
    mapa w=28, k=-14, l.oczek = 8
    mapa w=13, k=-4, l.oczek = 8
    mapa w=26, k=-7, l.oczek = 8
    mapa w=24, k=-12, l.oczek = 8
    mapa w=27, k=-4, l.oczek = 8
    mapa w=14, k=-3, l.oczek = 8
    mapa w=22, k=-8, l.oczek = 8
    mapa w=23, k=-1, l.oczek = 8
    mapa w=17, k=-2, l.oczek = 8
    mapa w=19, k=-6, l.oczek = 8
    mapa w=28, k=-13, l.oczek = 8
    mapa w=28, k=-15, l.oczek = 8
    mapa w=31, k=-10, l.oczek = 8
    mapa w=28, k=-8, l.oczek = 8
    mapa w=13, k=-5, l.oczek = 8
    mapa w=25, k=-5, l.oczek = 8
    mapa w=13, k=-8, l.oczek = 8
    mapa w=24, k=-3, l.oczek = 8
    mapa w=29, k=-10, l.oczek = 8
    mapa w=20, k=-5, l.oczek = 8
    mapa w=15, k=-3, l.oczek = 8
    mapa w=12, k=3, l.oczek = 8
    mapa w=13, k=-7, l.oczek = 8
    mapa w=13, k=-6, l.oczek = 8
    mapa w=24, k=-1, l.oczek = 8
    mapa w=22, k=-9, l.oczek = 8
    mapa w=23, k=-7, l.oczek = 8
    mapa w=14, k=-10, l.oczek = 8
    mapa w=14, k=-4, l.oczek = 8
    mapa w=10, k=4, l.oczek = 8
    mapa w=22, k=-4, l.oczek = 8
    mapa w=25, k=-9, l.oczek = 8
    mapa w=27, k=-10, l.oczek = 8
    mapa w=18, k=-2, l.oczek = 8
    mapa w=16, k=-3, l.oczek = 8
    mapa w=19, k=-7, l.oczek = 8
    mapa w=24, k=-6, l.oczek = 8
    mapa w=14, k=-9, l.oczek = 8
    mapa w=14, k=-5, l.oczek = 8
    mapa w=30, k=-13, l.oczek = 8
    mapa w=22, k=-12, l.oczek = 8
    mapa w=22, k=-10, l.oczek = 8
    mapa w=25, k=-3, l.oczek = 8
    mapa w=15, k=-11, l.oczek = 8
    mapa w=11, k=4, l.oczek = 8
    mapa w=22, k=-11, l.oczek = 8
    mapa w=15, k=-4, l.oczek = 8
    mapa w=20, k=-6, l.oczek = 8
    mapa w=21, k=-5, l.oczek = 8
    mapa w=30, k=-9, l.oczek = 8
    mapa w=14, k=-8, l.oczek = 8
    mapa w=14, k=-6, l.oczek = 8
    mapa w=28, k=-6, l.oczek = 8
    mapa w=19, k=-8, l.oczek = 8
    mapa w=14, k=-7, l.oczek = 8
    mapa w=19, k=-10, l.oczek = 8
    mapa w=19, k=-9, l.oczek = 8
    mapa w=31, k=-8, l.oczek = 8
    mapa w=28, k=-4, l.oczek = 8
    mapa w=23, k=-4, l.oczek = 8
    mapa w=17, k=-3, l.oczek = 8
    mapa w=29, k=-11, l.oczek = 8
    mapa w=27, k=-11, l.oczek = 8
    mapa w=30, k=-14, l.oczek = 8
    mapa w=26, k=-5, l.oczek = 8
    mapa w=27, k=-16, l.oczek = 8
    mapa w=15, k=-10, l.oczek = 8
    mapa w=15, k=-5, l.oczek = 8
    mapa w=25, k=-10, l.oczek = 8
    mapa w=28, k=-9, l.oczek = 8
    mapa w=26, k=-8, l.oczek = 8
    mapa w=12, k=4, l.oczek = 8
    mapa w=23, k=-8, l.oczek = 8
    mapa w=21, k=-2, l.oczek = 8
    mapa w=16, k=-4, l.oczek = 8
    mapa w=27, k=-7, l.oczek = 8
    mapa w=15, k=-6, l.oczek = 8
    mapa w=26, k=-3, l.oczek = 8
    mapa w=15, k=-9, l.oczek = 8
    mapa w=18, k=-3, l.oczek = 8
    mapa w=15, k=-8, l.oczek = 8
    mapa w=15, k=-7, l.oczek = 8
    mapa w=31, k=-11, l.oczek = 8
    mapa w=20, k=-7, l.oczek = 8
    mapa w=25, k=-11, l.oczek = 8
    mapa w=25, k=-14, l.oczek = 8
    mapa w=30, k=-7, l.oczek = 8
    mapa w=22, k=-5, l.oczek = 8
    mapa w=16, k=-5, l.oczek = 8
    mapa w=17, k=-4, l.oczek = 8
    mapa w=24, k=-7, l.oczek = 8
    mapa w=22, k=-2, l.oczek = 8
    mapa w=16, k=-11, l.oczek = 8
    mapa w=25, k=-6, l.oczek = 8
    mapa w=27, k=-15, l.oczek = 8
    mapa w=29, k=-8, l.oczek = 8
    mapa w=23, k=-14, l.oczek = 8
    mapa w=29, k=-4, l.oczek = 8
    mapa w=27, k=-12, l.oczek = 8
    mapa w=23, k=-9, l.oczek = 8
    mapa w=19, k=-3, l.oczek = 8
    mapa w=27, k=-14, l.oczek = 8
    mapa w=27, k=-13, l.oczek = 8
    mapa w=21, k=-6, l.oczek = 8
    mapa w=27, k=-3, l.oczek = 8
    mapa w=25, k=-13, l.oczek = 8
    mapa w=25, k=-12, l.oczek = 8
    mapa w=20, k=-8, l.oczek = 8
    mapa w=29, k=-12, l.oczek = 8
    mapa w=24, k=-4, l.oczek = 8
    mapa w=27, k=-5, l.oczek = 8
    mapa w=23, k=-2, l.oczek = 8
    mapa w=23, k=-10, l.oczek = 8
    mapa w=26, k=-9, l.oczek = 8
    mapa w=16, k=-6, l.oczek = 8
    mapa w=16, k=-10, l.oczek = 8
    mapa w=23, k=-13, l.oczek = 8
    mapa w=30, k=-10, l.oczek = 8
    mapa w=18, k=-4, l.oczek = 8
    mapa w=20, k=-10, l.oczek = 8
    mapa w=16, k=-7, l.oczek = 8
Znaleziono w pliku teren.map przedmioty w liczbie 296
  przedm.0, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611208: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.1, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611304: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.2, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611400: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.3, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611496: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.4, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611592: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.5, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611688: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.6, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611784: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.7, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611880: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.8, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34611976: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.9, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612072: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.10, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612168: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.11, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612264: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.12, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612360: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.13, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612456: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.14, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612552: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 18, k = -2
  przedm.15, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612648: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.16, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612744: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.17, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612840: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.18, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34612936: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.19, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613032: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 21, k = -4
  przedm.20, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613128: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -5
  przedm.21, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613224: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.22, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613320: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.23, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613416: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -4
  przedm.24, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613512: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.25, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613608: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.26, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613704: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.27, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613800: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.28, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613896: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.29, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34613992: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.30, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614088: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.31, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614184: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.32, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614280: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.33, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614376: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.34, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614472: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.35, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614568: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.36, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614664: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.37, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614760: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.38, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34614856: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.39, typ = 2, wartosc = 22.830770
wstawiam przedmiot 34614952: drzewo o wartosci 22.830770 i srednicy 1.220769 w sektor w = -1, k = 1
  przedm.40, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615048: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.41, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615144: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.42, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615240: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.43, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615336: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.44, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615432: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.45, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615528: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.46, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615624: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.47, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615720: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.48, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615816: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.49, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34615912: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.50, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616008: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.51, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616104: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.52, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616200: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.53, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616296: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.54, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616392: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.55, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616488: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.56, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616584: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.57, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616680: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.58, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616776: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.59, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616872: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.60, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34616968: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.61, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617064: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.62, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617160: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.63, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617256: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.64, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617352: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.65, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617448: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.66, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617544: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.67, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617640: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.68, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617736: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.69, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617832: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.70, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34617928: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.71, typ = 1, wartosc = 10.000000
